23.5;17.15;8.5;3.06;2.99;0.01;0.01;1;4;8.88;21.12;25.52;26.23;22.84;23.52;23.6;27.99;40;43.44;40.21;35.88;31.3;28.7;23.2
18.32;15.56;10.01;4.86;6.99;17.81;39.16;51.8;52.81;54.07;50.9;52.13;52.6;47.6;46.67;46.1;47.9;57.02;59.7;52.1;48.9;41.72;41.75;33.83
30.12;20.34;15.42;12.74;15.87;23.37;35.56;43.64;46.27;45.86;47.67;45.34;43.27;41.27;38.65;40.59;43.39;47.23;46.35;42.37;41.47;36;33.19;22.21
12.44;6.08;9;7;7;15.47;37.8;47.81;47;46.72;46.79;46.26;43.59;42.34;42.12;42.01;44.36;50.35;52.11;48.48;43.82;37.05;35.66;28.82
12.3;2.71;0.01;0.01;1.57;10.42;22.04;36.74;43.35;44.68;44.8;46.98;45.47;45.62;43;41;43.17;51.99;52.4;46;41.3;34.3;32.99;19.43
9.28;1;0.01;0.01;0.01;10;23.78;39.22;42.5;44.02;44.24;45.5;45.19;42.37;41.86;42.3;46.43;57.76;58.95;51.51;47.9;42.49;37.71;29.89
32.62;25.89;18.84;14;11;15;16;27.54;34.99;39.97;43.43;43.7;41.5;39.12;37.36;37.01;40.25;48.1;51.36;44.27;38.03;33.1;32.71;26.29
18;14.05;7.93;0.99;0.99;4.47;3;10.93;12.38;29.7;35.24;40.4;38.29;33.7;31.85;31.9;37.09;46;53;51.5;50.04;43.6;42.79;35.98
34.32;31.68;30.26;28.75;28.75;35.6;45.53;52;60.24;59;57.54;55.63;54.06;51.83;50.72;50.49;53.85;62.56;65.59;56.48;54.74;46.74;42.72;35.8
30.99;28.44;27.05;24.76;26;35.11;43.34;55.08;53.17;53.37;53.27;52.62;52.35;52.47;51.99;51.74;55;63.9;67.11;60.2;54.39;48.89;46.01;41.9
39;37.13;34.69;33.25;32;36.12;40.96;48.89;51.54;50.88;51.1;50.39;50.53;51.53;50.85;50;52.69;59.75;60.42;53.96;49.64;42.89;41.14;35.32
37.43;32.44;28.1;24.18;24.41;30.43;37.51;45.93;48.93;46.15;45.37;45.5;44.43;43;42.43;42.43;44.06;50.75;55.72;49.92;44.94;39.68;40.21;35.19
35.97;29.12;26.74;24.77;27.7;34.19;42.96;49.78;53.93;52.6;50.3;48.57;47.13;45.69;44.7;45.66;48.33;58.3;57.02;52.4;49.61;45.58;45.54;41.85
33.92;29.5;29.1;27.75;28.61;29.29;33.19;38.95;42.25;47.89;50.19;49.8;47.57;45.05;42.26;44.01;50;58.59;62.4;55.61;53.59;48.51;49.61;46.4
42.68;39.62;35.68;33.18;32.01;31.32;27.29;30.63;35.07;40.61;45.42;48.14;46.17;43.31;40.33;40.79;46.68;54.68;59.71;59.68;56.17;51.03;53.67;44.93
41.5;39.48;36.29;34.28;34.48;39;50.41;61.78;65.95;63.01;58.56;58.66;57.16;55.89;54.59;56.94;61.86;79.99;84.11;69.93;61.85;53.59;50.9;44.2
42.18;39.31;38;35.76;35.68;38.58;46.55;59;61.34;59.69;57.93;56.12;55.01;52.74;52.33;52.43;55.43;64.18;73.18;64.18;55.18;48.1;47.69;44
42.78;40.43;38.43;37.33;37.04;39.5;43.39;55;57.36;56.2;53.25;51.53;49.15;47.73;46.54;46.93;49.01;54.71;54.19;49.56;46.43;39.93;38.93;34.74
34.21;30.95;28.5;28.2;28.5;32.8;39.9;51.25;52.93;53.48;51.99;51.61;48.73;48.58;46;45.57;44.68;52.2;57.03;49.01;46.9;43.23;41.5;36.36
30.42;26.7;24.92;23.92;24.44;31.01;39.12;47;48.27;48.42;46.8;47;45.16;44.42;42.75;42.92;44.87;54.5;58.12;53.5;49;44.86;44.64;40.5
41.41;37.6;34.61;31.52;30.9;30.4;30.6;34.18;36.09;39.65;41.9;41.85;40.56;37.93;35.9;34.27;36.19;41.65;43.75;38;31.74;27.99;28.54;18.88
0.34;0.01;0.01;0.01;0.01;0.01;0.01;0.01;5;17.19;24.51;32.24;33.5;25.84;20.48;21.25;25;39.81;45.78;45.41;47.18;41.01;41.02;30.77
